dateOfSale,price,address,county
05/12/2013,"â‚¬525,000.00","22 ASHINGTON GROVE, NAVAN RD, DUBLIN 7",Westmeath
05/01/2014,"â‚¬315,000.00","23 ASHGROVE COURT, SANDYFORD RD, DUNDRUM DUBLIN 16",Dublin
05/02/2014,"â‚¬655,000.00","23 TRAMORE HEIGHTS, TRAMORE, CO. WATERFORD",Limerick
05/03/2014,"â‚¬195,000.00","24 WOODLANE, ROSCHOILL, DROGHEDA",Cork
05/04/2014,"â‚¬237,500.00","25 Rathronan, Athea",Leitrim
05/05/2014,"â‚¬232,000.00","26 CASTLEKNOCK GLADE, CASTLEKNOCK, DUBLIN 15",Limerick
05/06/2014,"â‚¬475,000.00","26 CEIDE BHREANAINN, AN CHULOG, BAILE ÁTHA CLIATH 5",Wexford
05/07/2014,"â‚¬325,000.00","27 AUGHRIM HOLIDAY VILLAGE, AUGHRIM, WICKLOW",Waterford
05/08/2014,"â‚¬596,000.00","27 Clevedon, Kilmoney, Carrigaline",Cork
05/09/2014,"â‚¬525,000.00","27 Newtown, WATERFORD, WATERFORD",Limerick
05/10/2014,"â‚¬615,000.00","29 HEATHER PARK, PAIRC NA GLOINE, KENMARE",Dublin
05/11/2014,"â‚¬682,819.00","29 THE BAWN, MALAHIDE, THE HILL",Clare
05/12/2014,"â‚¬950,000.00","3 ARDFIELD AVE, GRANGE, DOUGLAS",Dublin
05/01/2015,"â‚¬320,010.00","3 GULISTAN PLACE, RATHMINES, DUBLIN 6",Dublin
05/02/2015,"â‚¬343,612.33","3 Longfield Avenue, Cashel Road, Clonmel",Louth
05/03/2015,"â‚¬216,000.00","3 SHELBOURNE PLACE, CAMPILE, WEXFORD",Dublin
05/04/2015,"â‚¬275,428.00","30 HILLSBROOK AVE, PERRYSTOWN, DUBLIN 12",Dublin
05/05/2015,"â‚¬300,000.00","30 SOMERTON, DONABATE, DUBLIN",Westmeath
05/06/2015,"â‚¬370,000.00","30B, SOUTHTERRACE COURT, SOUTH TERRACE",Dublin
05/07/2015,"â‚¬295,000.00","32 HARBOUR VIEW, ST LAURENCES RD, HOWTH",Dublin
05/08/2015,"â‚¬252,000.00","33 Henley Park, Churchtown",Dublin
05/09/2015,"â‚¬280,000.00","33 PAIRC BHRID, ATHY, CO. KILDARE",Donegal
05/10/2015,"â‚¬880,000.00","33 RAILWAY MEWS, DONAGHMEDE, DUBLIN 13",Tipperary
05/11/2015,"â‚¬398,230.07","36 LOWER RATHMINES ROAD, RATHMINES, DUBLIN 6",Tipperary
05/12/2015,"â‚¬315,000.00","39 FATIMA PARK, DUNDALK, LOUTH",Kildare
05/01/2016,"â‚¬655,000.00","4 GREALISHTOWN, BOHERMORE, GALWAY",Dublin
05/02/2016,"â‚¬195,000.00","4 HOLLYWOOD PARK, GOATSTOWN, DUBLIN 14",Dublin
05/03/2016,"â‚¬237,500.00","4 Loughmore Square, Killeen Caste, Dunsany",Galway
05/04/2016,"â‚¬550,000.00","40 JOHN ST SOUTH, PIMLICO, DUBLIN 8",Waterford
05/05/2016,"â‚¬440,529.00","41 Pomeroy Park, Rathangan",Sligo
05/06/2016,"â‚¬232,000.00","41 WOODSTOWN HEIGHTS, KNOCKLYON, DUBLIN 16",Tipperary
05/07/2016,"â‚¬475,000.00","43 GLEANN RIBH, LUSK, DUBLIN",Cork
05/08/2016,"â‚¬325,000.00","44 THE VIEW, DROGHEDA, CO. LOUTH",Clare
05/09/2016,"â‚¬596,000.00","47 Milltown Gate, Burgage Mór, Blessington",Limerick
05/10/2016,"â‚¬525,000.00","49 PORTACARRON, KNOCKNACARRA, GALWAY",Tipperary
05/11/2016,"â‚¬232,000.00","5 BEVERLY HEIGHTS, DOORADOYLE, LIMERICK",Waterford
05/12/2016,"â‚¬475,000.00","5 GRAND CANAL COURT, TULLAMORE, OFFALY",Cork
05/01/2011,"â‚¬325,000.00","5 Greenmount Buildings, Green Street, cork",Sligo
05/02/2011,"â‚¬596,000.00","5 SILVER QUAY, NORTH GATE STREET, ATHLONE",Cork
05/03/2011,"â‚¬525,000.00","5 ST KEVINS DR, PHILIPSTOWN, DUNLEER",Louth
05/04/2011,"â‚¬315,000.00","51 Fairgreen Park, Mullagh, Co. Cavan.",Wexford
05/05/2011,"â‚¬655,000.00","51 SILVERSPRINGS, DUNGARVAN, WATERFORD",Louth
05/06/2011,"â‚¬195,000.00","52 POLEBERRY, WATERFORD, WATERFORD",Dublin
05/07/2011,"â‚¬237,500.00","56 College Square, Wainsfort Manor Drive, Terenure",Wicklow
05/08/2011,"â‚¬232,000.00","56D GRIFFITH HALL, GLANDORE ROAD, DUBLIN 9",Louth
05/09/2011,"â‚¬475,000.00","58 ASSUMPTION RD, EDENDERRY, OFFALY",Wexford
05/10/2011,"â‚¬325,000.00","59 THE OAKS, KEATINGSTOWN RD, RATHNEW",Cork
05/11/2011,"â‚¬596,000.00","6 Owen Glin, Clifden",Limerick
05/12/2011,"â‚¬525,000.00","67 DEVENISH RD, KIMMAGE, DUBLIN 12",Cork
05/01/2012,"â‚¬615,000.00","68 THE CHASE, RAMSGATE, GOREY",Carlow
05/02/2012,"â‚¬682,819.00","7 Curragh Hall Green, Tyrrelstown, Dublin 15",Cork
05/03/2012,"â‚¬950,000.00","8 DROM ARD, CHURCH RD, BELMULLET",Wicklow
05/04/2012,"â‚¬320,010.00","8 SYCAMORE DR, PROSPECT WOOD, LONGFORD",Dublin
05/05/2012,"â‚¬216,000.00","85 AVONDALE CLOSE, AVONDALE, WATERFORD",Cork
05/06/2012,"â‚¬275,428.00","87 Alexandra Walk, Abbeyland, Clane",Cork
05/07/2012,"â‚¬300,000.00","87 ORCHARD PARK, CURRAGH CAMP, KILDARE",Dublin
05/08/2012,"â‚¬370,000.00","9 FRIARS WALK, DUNMORE, GALWAY",Laois
05/09/2012,"â‚¬295,000.00","9 THE VIEW, FIVE OAKS, DROGHEDA",Cork
05/10/2012,"â‚¬252,000.00","99 THE ELMS, KILNACOURT WOODS, PORTARLINGTON",Dublin
05/11/2012,"â‚¬280,000.00","APARTMENT 1, 300 HAROLD'S CROSS ROAD, HAROLDS CROSS",Cork
05/12/2012,"â‚¬880,000.00","APARTMENT 2, 300 HAROLDS CROSS ROAD, HAROLDS CROSS",Dublin
05/01/2013,"â‚¬398,230.07","APARTMENT 3, 300 HAROLDS CROSS ROAD, HAROLDS CROSS",Galway
05/02/2013,"â‚¬315,000.00","APT 55, DOCK MILL, BARROW ST DUBLIN 4",Cork
05/03/2013,"â‚¬655,000.00","APT 5, 30 PETER ST, DROGHEDA",Tipperary
05/04/2013,"â‚¬195,000.00","APT 73 RUSSEL HOUSE, 33 MOUNTJOY SQ, DUBLIN 1",Cork
05/05/2013,"â‚¬237,500.00","Apt. 10 Harcourt Hall, Charlotte Quay",Meath
05/06/2013,"â‚¬550,000.00","Apt. 7 The Ailsbury, Donnybrook Castle, Dublin 4",Kildare
05/07/2013,"â‚¬440,529.00","BALLINTOGHER, CO SLIGO",Clare
05/08/2013,"â‚¬232,000.00","BALLINVEALA, CRECORA, LIMERICK",Dublin
05/09/2013,"â‚¬475,000.00","BALROE, BALLYNACARGY, WESTMEATH",Laois
05/10/2013,"â‚¬325,000.00","Bellass, Foxford",Cork
05/11/2013,"â‚¬596,000.00","BERNING, CULLLINA PARK, BEAUFORT",Dublin
05/12/2013,"â‚¬525,000.00","COLLINSTOWN, CARBURY, CO KILDARE",Cork
05/01/2014,"â‚¬232,000.00","COOLRUSS, TINAHELY, WICKLOW",Sligo
05/02/2014,"â‚¬475,000.00","Cork Road, Newport",Dublin
05/03/2014,"â‚¬325,000.00","DEERPARK, PORTARLINGTON, CO LAOIS",Dublin
05/04/2014,"â‚¬596,000.00","DERRYGUILE, MOUNTMELLICK, LAOIS",Dublin
05/05/2014,"â‚¬525,000.00","EMLAGH CRAUGHWELL, CRAUGHWELL, GALWAY",Kildare
05/06/2014,"â‚¬315,000.00","FAHA KILMACTHOMAS, KILMACTHOMAS, WATERFORD",Dublin
05/07/2014,"â‚¬655,000.00","Fernlea, Barnhill Road, Dalkey",Dublin
05/08/2014,"â‚¬195,000.00","GORTAHOOSH, KILLARNEY, KERRY",Louth
05/09/2014,"â‚¬237,500.00","GORTRAHILLY, BALLYMAKEERA, MACROOM",Leitrim
05/10/2014,"â‚¬232,000.00","HARROW LODGE, CORNARONE EAST, INVERIN",Cork
05/11/2014,"â‚¬475,000.00","KILBEG, KILL, KILMACTHOMAS",Waterford
05/12/2014,"â‚¬325,000.00","KILFREE, CURTEEN, CO SLIGO",Dublin
05/01/2015,"â‚¬596,000.00","LISSDUFF, CRAUGHWELL, GALWAY",Dublin
05/02/2015,"â‚¬252,000.00","MEERU, BOHERLODE, BALLYNEETY",Dublin
05/03/2015,"â‚¬270,000.00","NO 6 LOUGH CARAGH, GLANNAGILLIAGH, CARAGH LAKE",Kerry
05/04/2015,"â‚¬234,000.00","TEERGONEAN, DOOLIN, CLARE",Dublin
05/05/2015,"â‚¬165,000.00","TONLEMONE, CLOGHAN, BIRR",Clare
05/06/2015,"â‚¬157,500.00 **","TUBBERDUFF, TARA HILL, GOREY",Cork
05/07/2015,"â‚¬263,000.00","UISCE DUBH, ANNAGHKEEN OWER, HEADFORD",Carlow
05/08/2015,"â‚¬190,000.00 **","VIA DOLOROSA, CARRICK RD, BOYLE",Cork
05/09/2015,"â‚¬365,000.00","Woodley Lodge, Rochestown",Cork
05/10/2015,"â‚¬753,303.96","WOODTOWN, DRUMCONRATH, NAVAN",Dublin
05/11/2015,"â‚¬670,000.00","YELLOW BRICK COTTAGE, WHEELAGOWER, BALLINDAGGIN",Monaghan
05/12/2015,"â‚¬260,000.00","BOG RD, KNOCKNAGEEHA, GNEEVEGUILLA",Wicklow
05/01/2016,"â‚¬771,000.00","1 BLACKROCK, SALTHILL, GALWAY",Cork
05/02/2016,"â‚¬400,000.00","10 Seachnaill PLace, Dunshaughlin",Dublin
05/03/2016,"â‚¬285,000.00","10 WALSHS TERRACE, WOODQUAY, GALWAY",Louth
05/04/2016,"â‚¬325,991.19","110 Rampart View, Rahardrum, Virginia",Dublin
05/05/2016,"â‚¬340,000.00","111 Rampart View, Virginia",Cork
05/06/2016,"â‚¬220,000.00","114 HAMPTON WOOD RD, ST MARGARETS, DUBLIN 11",Galway
05/07/2016,"â‚¬215,000.00","12 RADHARC NA FHIAIGH  COOLCOTTS, WEXFORD, WEXFORD",Cork
05/08/2016,"â‚¬335,000.00","13 FERNLEIGH CRESCENT, CASTLEKNOCK, DUBLIN 15",Wexford
05/09/2016,"â‚¬383,259.00","13 KILMANTIN HILL, WICKLOW, WICKLOW",Meath
05/10/2016,"â‚¬145,000.00","14  Bridgefield Grove, Curraheen, Bishopstown",Westmeath
05/11/2016,"â‚¬302,000.00","14 MERCHANT SQ, EASTWALL, DUBLIN 3",Cork
05/12/2016,"â‚¬250,000.00","16 KNOCKALTON, NENAGH, TIPPERARY",Galway
05/02/2012,"â‚¬630,000.00","100 LOWER DRUMCONDRA ROAD, DUBLIN 9",Wexford
05/03/2012,"â‚¬260,000.00","108 MOUNTAIN VIEW DRIVE, BRAY, CO. WICKLOW",Waterford
05/04/2012,"â‚¬343,612.33","11 TOLKA RD, BALLYBOUGH, DUBLIN 3",Cork
05/05/2012,"â‚¬216,000.00","11 WOODVIEW CLOSE, WOODVIEW PARK, LIMERICK",Limerick
05/06/2012,"â‚¬275,428.00","12 Bushfield Drive, Clondalkin",Dublin
05/07/2012,"â‚¬300,000.00","14 CORNADARRAGH, BELTURBET, CO CAVAN",Clare
05/08/2012,"â‚¬370,000.00","15 NEW QUAY, CLONMEL, CO TIPPERARY",Dublin
05/09/2012,"â‚¬295,000.00","15 TARA LAWNS, KINNEGAD, CO WESTMEATH",Dublin
05/10/2012,"â‚¬252,000.00","15 YEWWOOD, YOUGHAL, CORK",Louth
05/11/2012,"â‚¬280,000.00","16 NEW QUAY, CLONMEL, TIPPERARY",Dublin
05/12/2012,"â‚¬880,000.00","18 ATHLUMNEY VILLAS, RANELAGH, DUBLIN 6",Dublin
05/01/2013,"â‚¬398,230.07","19 SHANNON LODGE, CARRICK ON SHANNON, LEITRIM",Westmeath
05/02/2013,"â‚¬343,612.33","2 Ossory Court, Borris In Ossory",Dublin
05/03/2013,"â‚¬216,000.00","27 THE GREENS, STATION RD, THOMASTOWN",Dublin
05/04/2013,"â‚¬275,428.00","28 ARBOR RD, LISDUGGAN, WATERFORD",Dublin
05/05/2013,"â‚¬300,000.00","29 Castlepark Square, Dunboyne Road, Maynooth",Donegal
05/06/2013,"â‚¬370,000.00","29 MOUNT SYMON LAWN, CLONSILLA, DUBLIN 15",Tipperary
05/07/2013,"â‚¬295,000.00","2A CLYDE LANE, BALLSBRIDGE, DUBLIN 4",Tipperary
05/08/2013,"â‚¬252,000.00","2B CLYDE LANE, BALLSBRIDGE, DUBLIN 4",Kildare
05/09/2013,"â‚¬280,000.00","3 KILLASSER ESTATE, SWINFORD, CO MAYO",Dublin
05/10/2013,"â‚¬880,000.00","3 Ossory Court, Borris in Ossory",Dublin
05/11/2013,"â‚¬398,230.07","32 BOROIMHE BEECH, SWORDS, CO DUBLIN",Galway
05/12/2013,"â‚¬315,000.00","35 LEALAND DR, BAWNOGUE, CLONDALKIN DUBLIN 22",Waterford
05/01/2014,"â‚¬655,000.00","37 Park Vale, Grange Rath, Drogheda",Sligo
05/02/2014,"â‚¬195,000.00","39 SARSFIELD GARDENS, MOYROSS, LIMERICK",Tipperary
05/03/2014,"â‚¬237,500.00","40 ST BEGNETS VILLAS, DALKEY, DUBLIN",Cork
05/04/2014,"â‚¬550,000.00","41 GROSVENOR PARK, RATHMINES, DUBLIN 6",Clare
05/05/2014,"â‚¬440,529.00","41 TOURNORE COURT, DUNGARVAN, WATERFORD",Limerick
05/06/2014,"â‚¬232,000.00","42 BEECHWOOD PARK, POLLERTON BIG, CARLOW",Tipperary
05/07/2014,"â‚¬475,000.00","42 Eastmoreland Court, Ballsbridge",Waterford
05/08/2014,"â‚¬325,000.00","42 WHITWORTH RD, DRUMCONDRA, DUBLIN 9",Cork
05/09/2014,"â‚¬596,000.00","43 CLONLEA, BALLINTEER, DUBLIN 16",Sligo
05/10/2014,"â‚¬525,000.00","485A Bluebell Avenue, Bluebell, Dublin 12",Cork
05/11/2014,"â‚¬315,000.00","49 Knightsbrook Crescent, Trim",Louth
05/12/2014,"â‚¬655,000.00","5 alderwood, hollystown, dublin 15",Wexford
05/01/2015,"â‚¬195,000.00","5 NORTONS AVE, PHIBSBOROUGH, DUBLIN 7",Louth
05/02/2015,"â‚¬237,500.00","5 WALNUT RISE, COURTLANDS, GRIFFITH AVE DUBLIN 9",Dublin
05/03/2015,"â‚¬232,000.00","50 HAZEL HILL DOWNES, BALLYHAUNIS, CO MAYO",Wicklow
05/04/2015,"â‚¬475,000.00","53 GRANGE RD, RATHFARNHAM, DUBLIN 14",Louth
05/05/2015,"â‚¬325,000.00","56 BRAEMOR RD, CHURCHTOWN, DUBLIN 14",Wexford
05/06/2015,"â‚¬596,000.00","6 ABBEY COURT, CLANE, KILDARE",Cork
05/07/2015,"â‚¬525,000.00","6 CASTLEMANOR CRESCENT, CASTLEMARTYR, CORK",Limerick
05/08/2015,"â‚¬615,000.00","6 DARGAN COURT, MEATH RD, BRAY",Cork
05/09/2015,"â‚¬682,819.00","63 BRIAN AVE, MARINO, DUBLIN 3",Carlow
05/10/2015,"â‚¬950,000.00","7 CLOUGHANVARY, JOHN ST, ARDEE",Cork
05/11/2015,"â‚¬320,010.00","8 LAUREL COURT, BELLFIELD, FERRYBANK",Wicklow
05/12/2015,"â‚¬343,612.33","9 CUIRT NA HEAGLAISE, DOUGLAS",Dublin
05/01/2016,"â‚¬216,000.00","9 the plains, ballinagare",Cork
05/02/2016,"â‚¬275,428.00","Apartment 410  Pier Head, Allin's Quay, Youghal",Cork
05/03/2016,"â‚¬300,000.00","Ballinacoola, Gorey",Dublin
05/04/2016,"â‚¬370,000.00","BALLINVOSKIG WEST, MALLOW, CORK",Laois
05/05/2016,"â‚¬295,000.00","BAWNMORE, ARDMAYLE, CASHEL",Cork
05/06/2016,"â‚¬252,000.00","BOFIELD, BALLINA, CO.MAYO",Dublin
05/07/2016,"â‚¬280,000.00","BOULEENSHEERE, BALLYHEIGUE, CO.KERRY",Cork
05/08/2016,"â‚¬880,000.00","CLONGOWNEY, OLD DUBLIN ROAD, MULLINGAR",Dublin
05/09/2016,"â‚¬398,230.07","Corglass, Milltown, Belturbet",Galway
05/10/2016,"â‚¬315,000.00","CRAFFIELD, AUGHRIM, WICKLOW",Cork
05/11/2016,"â‚¬655,000.00","DERRYGILE LODGE, DERRYGUILE, MOUNTMELLICK",Tipperary
05/12/2016,"â‚¬195,000.00","DERRYHERK, BALLYSHANNON, LEITRIM",Cork
05/01/2011,"â‚¬237,500.00","DREHID, CARBURY, KILDARE",Meath
05/02/2011,"â‚¬550,000.00","Drumdrishnaghaun, Belcarra, Castlebar",Kildare
05/03/2011,"â‚¬440,529.00","ELMVILLE, UPPER KILMACUD ROAD, DUBLIN 14",Clare
05/04/2011,"â‚¬232,000.00","GALROOSTOWN, TERMONFECKIN",Dublin
05/05/2011,"â‚¬475,000.00","IRRUS, REHY EAST, CARRIGAHOLT",Laois
05/06/2011,"â‚¬325,000.00","KILCOONEY, GEASHILL, CO OFFALY",Cork
05/07/2011,"â‚¬596,000.00","LAHERKEEN, KILDARE, KILDARE",Dublin
05/08/2011,"â‚¬525,000.00","MAIN ST, DAINGEAN, OFFALY",Cork
05/09/2011,"â‚¬232,000.00","MAIN ST, KILMACRENNAN, LETTERKENNY",Sligo
05/10/2011,"â‚¬475,000.00","MEENDERRY, FALCARRAGH, DONEGAL",Dublin
05/11/2011,"â‚¬325,000.00","no 2 Tully, Ballygar",Dublin
05/12/2011,"â‚¬596,000.00","No 4 Westmanstown Cottages, Lucan, County Dublin",Dublin
05/01/2012,"â‚¬525,000.00","No 7 Rosehill, Mullagh",Kildare
05/02/2012,"â‚¬315,000.00","NO 7 ROSSAOR COTTAGE, BALLYLIFFIN, CO DONEGAL",Dublin
05/03/2012,"â‚¬655,000.00","St. Anne's, Clonbrusk, Athlone",Dublin
05/04/2012,"â‚¬195,000.00","St. Anthony's, Ballycullen Road, Knockyon",Louth
05/05/2012,"â‚¬237,500.00","TUBRID, CREEVES CROSS, SHANAGOLDEN",Leitrim
05/06/2012,"â‚¬232,000.00","TULLIG, CAHERCIVEEN, KERRY",Cork
05/07/2012,"â‚¬475,000.00","1 & 2 Reed's Place, Off Barrack Street",Waterford
05/08/2012,"â‚¬325,000.00","10 ASHFIELD RD, RANELAGH, DUBLIN 6",Dublin
05/09/2012,"â‚¬596,000.00","10 SPRINGFIELD, CASTLEREA, ROSCOMMON",Dublin
05/10/2012,"â‚¬525,000.00","100 COIS ABHANN, CAHERWISHEEN, TRALEE",Dublin
05/11/2012,"â‚¬615,000.00","11 BLACKROCK AVE, EDEN, BLACKROCK",Kerry
05/12/2012,"â‚¬682,819.00","13 Saggart Lodge, court, Saggart",Dublin
